So'z                 | Chastota (marta)
bo'lishi             | 1398      
mavjud               | 1387      
lekin                | 1379      
davom                | 1376      
nisbatan             | 1371      
davomida             | 1368      
turli                | 1364      
milliy               | 1362      
maxsus               | 1352      
holda                | 1349      
juda                 | 1345      
ammo                 | 1339      
e'lon                | 1338      
qadar                | 1322      
yaxshi               | 1315      
talabalar            | 1315      
ga                   | 1309      
kabi                 | 1304      
ishlar               | 1296      
yo'q                 | 1277      
oshirish             | 1269      
beradi               | 1266      
qayta                | 1265      
berdi                | 1240      
bunday               | 1239      
keyin                | 1234      
muhim                | 1232      
da                   | 1224      
prezident            | 1215      
million              | 1211      
etilgan              | 1194      
vazirligi            | 1174      
berish               | 1173      
yordam               | 1171      
aqsh                 | 1165      
bundan               | 1157      
etgan                | 1152      
olgan                | 1147      
uni                  | 1141      
haqda                | 1134      
qilindi              | 1133      
tegishli             | 1130      
test                 | 1128      
yaqin                | 1128      
hech                 | 1126      
so'ng                | 1121      
xizmat               | 1115      
agar                 | 1115      
bugun                | 1113      
alohida              | 1100      
prezidenti           | 1097      
suv                  | 1090      
dan                  | 1086      
kelib                | 1085      
tashqari             | 1084      
qo'shimcha           | 1083      
shunday              | 1071      
biri                 | 1069      
yuzasidan            | 1067      
unga                 | 1061      
to'g'risida          | 1058      
so'm                 | 1043      
to'g'ri              | 1039      
bog'liq              | 1027      
qo'llab              | 1026      
faqat                | 1026      
maqsadida            | 1023      
shahar               | 1022      
ma'lumot             | 1019      
rahbari              | 1017      
markaziy             | 1015      
ortiq                | 1004      
kun                  | 1002      
o'zbekistonda        | 1000      
yili                 | 996       
belgilangan          | 994       
jinoyat              | 992       
rivojlantirish       | 992       
doirasida            | 991       
yanada               | 977       
ikkinchi             | 975       
yo'l                 | 973       
ukraina              | 971       
jumladan             | 966       
yoshlar              | 964       
soat                 | 956       
keng                 | 956       
hisoblanadi          | 949       
ilmiy                | 947       
ko'rib               | 947       
universiteti         | 946       
etadi                | 941       
inson                | 940       
chiqarish            | 939       
harbiy               | 938       
talab                | 935       
etdi                 | 932       
etildi               | 931       
olingan              | 927       
ta'minlash           | 919       
tashqi               | 913       
ya'ni                | 907       
ishlari              | 907       
men                  | 906       
viloyati             | 889       
dedi                 | 889       
xizmati              | 888       
xorijiy              | 882       
taqdim               | 878       
degan                | 871       
tizimi               | 870       
soni                 | 868       
vaziri               | 867       
elektr               | 867       
savdo                | 864       
ichki                | 861       
sabab                | 860       
taklif               | 858       
umumiy               | 857       
ravishda             | 856       
jahon                | 856       
ularni               | 844       
o'rtasida            | 838       
to'liq               | 834       
unda                 | 828       
sodir                | 819       
foydalanish          | 817       
elektron             | 816       
ma'lumotlar          | 815       
chunki               | 813       
qonun                | 812       
birga                | 807       
tuman                | 803       
aholi                | 802       
o'zi                 | 801       
balki                | 790       
ovoz                 | 789       
kelgan               | 786       
kontrakt             | 784       
necha                | 778       
bergan               | 777       
faoliyat             | 776       
ayrim                | 776       
o'zaro               | 774       
talaba               | 772       
shahrida             | 770       
zarur                | 768       
o'tkazilgan          | 765       
mln                  | 764       
boshlab              | 763       
qilinadi             | 760       
kirish               | 759       
biroq                | 757       
etiladi              | 755       
aniq                 | 755       
oyida                | 754       
holat                | 753       
yevropa              | 749       
samarqand            | 745       
yildan               | 744       
oladi                | 743       
deydi                | 736       
o'tdi                | 734       
onlayn               | 732       
tibbiyot             | 732       
so'nggi              | 730       
pul                  | 729       
qismi                | 729       
ishga                | 723       
matbuot              | 723       
mart                 | 723       
mehnat               | 719       
siyosiy              | 711       
rasmiy               | 705       
sababli              | 705       
endi                 | 704       
qaror                | 704       
chiqish              | 702       
saqlash              | 701       
bugungi              | 700       
zamonaviy            | 698       
joylashgan           | 697       
e'tibor              | 697       
qolgan               | 696       
mamlakat             | 696       
beriladi             | 692       
soliq                | 692       
keyingi              | 691       
javob                | 690       
xitoy                | 689       
to'g'risidagi        | 689       
to'lov               | 681       
nima                 | 678       
tez                  | 678       
respublika           | 676       
gi                   | 675       
ekan                 | 674       
o'tkazish            | 674       
ishlash              | 673       
iyun                 | 671       
viloyat              | 670       
masalan              | 669       
xotin                | 665       
etib                 | 663       
siz                  | 662       
haqidagi             | 662       
yaratish             | 659       
himoya               | 659       
vaqt                 | 658       
buning               | 655       
xalq                 | 653       
hal                  | 653       
chiqib               | 651       
asosan               | 651       
ko'plab              | 648       
osiyo                | 646       
xodimlari            | 644       
bunda                | 642       
o'rtasidagi          | 641       
xususan              | 641       
sud                  | 640       
deya                 | 640       
tumani               | 639       
hozirgi              | 638       
kunda                | 638       
instituti            | 634       
qator                | 634       
milliard             | 633       
murojaat             | 632       
o'rta                | 630       
lim                  | 630       
iborat               | 630       
huquqiy              | 630       
dekabr               | 629       
mahalliy             | 628       
ichida               | 628       
marta                | 624       
faoliyati            | 623       
natijasida           | 622       
butun                | 622       
ayni                 | 618       
hamkorlik            | 618       
lozim                | 615       
o'sha                | 615       
gaz                  | 611       
harakat              | 608       
ma'lumotlarni        | 607       
yoshli               | 607       
yer                  | 605       
bo                   | 605       
qo'lga               | 604       
yillarda             | 602       
jamoasi              | 601       
markazi              | 600       
jami                 | 600       
berilgan             | 598       
keladi               | 597       
o'zbek               | 594       
hozirda              | 594       
fan                  | 593       
ning                 | 591       
chora                | 590       
ularga               | 589       
aprel                | 588       
yerda                | 587       
kishi                | 587       
vakillari            | 586       
foiz                 | 584       
samarali             | 583       
o'zining             | 583       
uch                  | 582       
shavkat              | 581       
faol                 | 580       
quyidagi             | 578       
undan                | 578       
ni                   | 575       
maktab               | 575       
ko'proq              | 574       
o'rinbosari          | 573       
hujjat               | 572       
uy                   | 572       
kam                  | 570       
eslatib              | 569       
muhokama             | 568       
foizga               | 565       
faoliyatini          | 564       
bo'lmagan            | 563       
bank                 | 563       
oldi                 | 561       
jalb                 | 559       
ta'sir               | 558       
orasida              | 557       
qilishga             | 555       
nazorat              | 550       
havo                 | 549       
texnik               | 544       
qishloq              | 543       
amaliy               | 541       
kiritish             | 538       
vaqtida              | 536       
o'zini               | 536       
muvofiq              | 535       
ro'yxatdan           | 533       
buni                 | 533       
yo'lga               | 531       
bolalar              | 530       
agentligi            | 529       
xil                  | 529       
yordamida            | 528       
tufayli              | 528       
o'qishga             | 527       
ma'muriy             | 526       
shundan              | 523       
o'tamiz              | 523       
mos                  | 523       
paydo                | 522       
oy                   | 521       
ommaviy              | 519       
ota                  | 516       
yetkazib             | 516       
darajada             | 515       
berildi              | 515       
kompyuter            | 515       
o'tish               | 514       
sport                | 514       
tibbiy               | 512       
qizlar               | 511       
yirik                | 510       
raisi                | 506       
oldin                | 505       
etmoqda              | 503       
qarori               | 502       
abituriyentlar       | 502       
o'ziga               | 500       
shuning              | 500       
jamiyat              | 500       
shaxsiy              | 499       
vositalari           | 499       
ishi                 | 498       
ochiq                | 494       
moddasi              | 492       
bunga                | 489       
tezkor               | 489       
chiqqan              | 487       
to                   | 487       
paytda               | 487       
oid                  | 486       
hali                 | 485       
hozir                | 483       
tili                 | 480       
chet                 | 477       
kunlari              | 477       
yosh                 | 471       
yillik               | 470       
xususiy              | 470       
fuqarolar            | 470       
deyiladi             | 470       
albatta              | 469       
qaratilgan           | 468       
tarzda               | 466       
uzoq                 | 466       
o'zbekistonning      | 463       
xo'jaligi            | 462       
tan                  | 461       
oila                 | 461       
kuchli               | 461       
sotib                | 460       
sanoat               | 460       
yanvar               | 458       
tabiiy               | 458       
boshqarmasi          | 456       
quvvatlash           | 455       
muassasalari         | 455       
guruh                | 454       
mirziyoyev           | 453       
nafaqat              | 452       
ko'rish              | 451       
yagona               | 450       
mo'ljallangan        | 450       
davlatlar            | 449       
dunyo                | 448       
joy                  | 447       
tergov               | 445       
loyihasi             | 444       
ball                 | 441       
aks                  | 439       
terma                | 439       
transport            | 437       
tizimini             | 436       
xavfsizlik           | 435       
tadbir               | 435       
kim                  | 433       
tahlil               | 433       
tadbirlar            | 433       
hujjatlar            | 433       
odamlar              | 433       
dastlabki            | 431       
aynan                | 430       
keldi                | 425       
ayniqsa              | 425       
beri                 | 424       
fuqaro               | 424       
imkoniyati           | 423       
ko'rsatish           | 423       
qiluvchi             | 423       
ijro                 | 422       
qancha               | 422       
yarim                | 422       
oshiriladi           | 421       
boshqarish           | 421       
sohasida             | 417       
bering               | 416       
sobiq                | 416       
bo'limi              | 415       
munosabati           | 414       
bitta                | 414       
ilk                  | 413       
bo'lish              | 413       
tomonlama            | 413       
yilga                | 412       
moliyaviy            | 412       
ayollar              | 411       
qo'shma              | 409       
umuman               | 409       
tizim                | 407       
o'tadi               | 406       
doimiy               | 406       
mudofaa              | 405       
hisob                | 405       
mlrd                 | 405       
ishchi               | 404       
kirib                | 404       
qurilish             | 404       
organlari            | 404       
tumanida             | 404       
iqtisodiyot          | 403       
dasturiy             | 403       
vaqtda               | 402       
shaxs                | 402       
nazarda              | 400       
tadbirda             | 399       
qo'yilgan            | 399       
noyabr               | 398       
buxoro               | 398       
oldini               | 398       
yuz                  | 394       
hududida             | 393       
tavsiya              | 393       
shart                | 393       
qilmoqda             | 392       
bo'lmaydi            | 391       
ilgari               | 391       
direktori            | 390       
farg'ona             | 389       
hamma                | 389       
dollar               | 388       
dam                  | 387       
kichik               | 387       
kengashi             | 387       
tayyorlash           | 387       
qilishi              | 386       
o'rganish            | 385       
o'rin                | 384       
qilinishi            | 384       
tug'ilgan            | 383       
harakatlari          | 383       
bo'ylab              | 382       
isroil               | 382       
huzuridagi           | 381       
ba'zi                | 381       
imkonini             | 380       
shaxslar             | 379       
ayol                 | 379       
shartnoma            | 378       
moliya               | 377       
jarayonida           | 375       
kredit               | 375       
avval                | 375       
yuzaga               | 375       
huquqlari            | 375       
qo'mitasi            | 373       
o'qish               | 372       
tashrif              | 371       
jiddiy               | 371       
borib                | 370       
avvalroq             | 370       
masalalari           | 369       
qozog'iston          | 369       
ovqat                | 368       
foizi                | 368       
ketgan               | 368       
viloyatida           | 367       
qulay                | 367       
turmush              | 367       
bermoqda             | 367       
navoiy               | 366       
gol                  | 366       
oxirgi               | 365       
birgalikda           | 365       
vazirlar             | 364       
qilishni             | 364       
loyiha               | 364       
aloqa                | 364       
oylik                | 363       
moddiy               | 363       
global               | 362       
boshqaruv            | 362       
ostida               | 361       
qoldi                | 360       
o'qishni             | 359       
ariza                | 359       
maqsad               | 358       
internet             | 358       
kiritilgan           | 357       
hatto                | 357       
kamida               | 356       
ko'chirish           | 356       
rossiyaning          | 356       
huquq                | 356       
mustaqil             | 355       
oziq                 | 354       
ancha                | 354       
bormoqda             | 353       
aytib                | 352       
axborotlarni         | 352       
buyuk                | 351       
islohotlar           | 351       
shahridagi           | 351       
kompaniyasi          | 351       
bekor                | 351       
jismoniy             | 350       
og'ir                | 350       
mamlakatda           | 350       
qo'yish              | 349       
yilgi                | 348       
natijalari           | 347       
narsa                | 347       
odam                 | 347       
tadqiqot             | 345       
vazirlik             | 345       
sog'liqni            | 345       
may                  | 344       
yo'li                | 343       
hududiy              | 343       
bildirdi             | 343       
dasturi              | 342       
jamoat               | 342       
mamlakatimizda       | 342       
etilishicha          | 342       
ruxsat               | 341       
aniqlangan           | 340       
energiya             | 340       
ta'kidladi           | 340       
texnologiyalari      | 339       
pedagogika           | 339       
bartaraf             | 339       
o'rtacha             | 338       
hisobga              | 338       
kodeksining          | 338       
andijon              | 337       
ekanini              | 337       
raqamli              | 337       
o'zida               | 336       
ko                   | 335       
oddiy                | 335       
so'zlariga           | 335       
turadi               | 335       
qaysi                | 334       
majburiy             | 334       
tutilgan             | 333       
kasb                 | 332       
munosabat            | 332       
imkon                | 332       
boshlanadi           | 331       
aytdi                | 331       
real                 | 330       
kecha                | 329       
buyon                | 329       
yashil               | 328       
o'yin                | 328       
turkiya              | 328       
hisoblash            | 328       
muloqot              | 327       
yillar               | 327       
olishga              | 327       
madaniyat            | 326       
oqibatida            | 326       
bo'lgani             | 326       
bozor                | 326       
namangan             | 325       
sotsial              | 325       
ulardan              | 324       
o'tkaziladi          | 324       
miqdori              | 324       
mahsulotlari         | 323       
bizning              | 322       
boy                  | 322       
akademik             | 321       
tadbirkorlik         | 321       
abituriyent          | 321       
o'tkazildi           | 321       
bmt                  | 320       
turgan               | 319       
iqlim                | 319       
vafot                | 319       
tarmoqlarda          | 317       
ijobiy               | 317       
uchrashuv            | 317       
ichiga               | 317       
boshlig'i            | 316       
jamoa                | 316       
daraja               | 316       
o'tib                | 314       
borasida             | 314       
qonunchilik          | 313       
kelayotgan           | 313       
nomidagi             | 313       
barqaror             | 312       
tadbirlari           | 312       
berib                | 310       
avgust               | 310       
jamoatchilik         | 310       
boshladi             | 310       
yilgacha             | 310       
turdagi              | 309       
ozod                 | 308       
qarab                | 308       
natijada             | 308       
yashovchi            | 308       
muhofaza             | 308       
bosqich              | 307       
kelishi              | 307       
tayyor               | 306       
mana                 | 306       
hukumati             | 305       
aniqlash             | 304       
ko'rsatilgan         | 304       
tushib               | 304       
gap                  | 302       
etishga              | 302       
so'z                 | 302       
imtihon              | 301       
nafari               | 301       
davrida              | 301       
darajasi             | 301       
shunga               | 301       
kotibi               | 301       
hamkorlikda          | 300       
hukumat              | 300       
germaniya            | 300       
jihatdan             | 300       
nodavlat             | 299       
qoraqalpog'iston     | 299       
futbolchi            | 299       
madaniy              | 298       
evaziga              | 298       
yo                   | 298       
tashkilotlar         | 298       
olishi               | 297       
tashkiloti           | 297       
jarayoni             | 297       
shahri               | 297       
rus                  | 296       
konstitutsiyaviy     | 296       
besh                 | 295       
sonli                | 295       
boshlandi            | 295       
tartibi              | 295       
o'zbekistondagi      | 295       
urush                | 295       
chiqdi               | 294       
turar                | 294       
zarar                | 294       
borada               | 294       
rivojlanish          | 293       
g'alaba              | 293       
vakili               | 293       
klubi                | 292       
a'zolari             | 291       
professional         | 291       
qat'iy               | 291       
baholash             | 290       
navbatdagi           | 290       
halok                | 290       
teng                 | 289       
fuqarolik            | 289       
tartibda             | 288       
hamkorlikni          | 288       
tizimida             | 288       
qurolli              | 288       
vaqti                | 287       
innovatsiyalar       | 287       
fikr                 | 287       
beruvchi             | 287       
bepul                | 286       
islom                | 286       
fevral               | 286       
qachon               | 285       
baho                 | 285       
ishtirokida          | 284       
uchinchi             | 284       
kengaytirish         | 284       
telegram             | 283       
o'zgartirish         | 283       
taxminan             | 283       
tushgan              | 283       
eksport              | 283       
magistratura         | 282       
rejalashtirilgan     | 282       
amal                 | 282       
korxona              | 282       
tizimlari            | 282       
mahalla              | 282       
vazir                | 281       
kerakli              | 281       
xos                  | 280       
talabalari           | 280       
ana                  | 280       
ikkita               | 280       
til                  | 278       
turibdi              | 278       
shuni                | 278       
biznes               | 278       
kiradi               | 278       
muddati              | 277       
uchrashuvda          | 277       
keskin               | 277       
muammolar            | 276       
amaldagi             | 276       
vaziyat              | 276       
yakuniy              | 275       
borish               | 275       
oltin                | 275       
yetib                | 275       
qiyin                | 275       
erkin                | 275       
ma'lumotlarga        | 274       
ekologik             | 274       
tarixiy              | 274       
dastur               | 273       
borilmoqda           | 273       
talabalarga          | 272       
namoyish             | 272       
son                  | 272       
yuridik              | 272       
olindi               | 271       
oshirishga           | 271       
al                   | 271       
bizga                | 270       
tahsil               | 270       
ingliz               | 270       
o'rinda              | 270       
harakati             | 270       
jinoiy               | 270       
ittifoqi             | 270       
oktabr               | 269       
ma'lumotlariga       | 269       
tashkilotlari        | 269       
texnologiya          | 268       
video                | 268       
mahrum               | 268       
mablag'              | 268       
aholining            | 268       
mashhur              | 268       
noqonuniy            | 267       
voqea                | 267       
kuchlari             | 267       
otm                  | 266       
ona                  | 266       
tartibga             | 266       
deyarli              | 266       
joylarda             | 266       
xizmatlari           | 265       
rad                  | 265       
tashkilot            | 265       
daromad              | 264       
asoslangan           | 264       
batafsil             | 264       
bois                 | 264       
mingdan              | 264       
ta'minoti            | 264       
nega                 | 263       
tayyorgarlik         | 263       
energetika           | 263       
sohasidagi           | 262       
bilim                | 262       
ko'zda               | 262       
o'zgarishlar         | 262       
hajmi                | 262       
janubiy              | 261       
masalalar            | 261       
aytishicha           | 261       
etilishi             | 260       
sifatli              | 260       
narxi                | 259       
boshqalar            | 259       
turizm               | 258       
bakalavriat          | 258       
saqlab               | 258       
muammo               | 258       
belgilab             | 258       
hududlarda           | 258       
so'mlik              | 257       
kurashish            | 257       
muassasalarida       | 257       
futbol               | 257       
nechta               | 257       
tanlov               | 256       
mamlakatimiz         | 256       
qaramay              | 256       
mamlakatning         | 256       
saylov               | 254       
bevosita             | 254       
sizga                | 254       
iyul                 | 254       
etishi               | 254       
biror                | 254       
mutaxassislar        | 253       
muassasalarining     | 253       
davlatimiz           | 253       
javobgarlik          | 253       
kompaniya            | 253       
chop                 | 252       
ijodiy               | 252       
o'zbekistonga        | 252       
o'n                  | 251       
ekanligini           | 251       
respublikasining     | 251       
hisobidan            | 250       
iste'mol             | 250       
hosil                | 250       
toshkentda           | 249       
tarmoq               | 249       
belgilandi           | 249       
yashash              | 249       
holatda              | 249       
dasturlar            | 249       
ziyod                | 249       
xarid                | 248       
universitet          | 248       
hujjatlarni          | 248       
kitob                | 248       
oshirilayotgan       | 248       
texnologiyalar       | 247       
qaroriga             | 246       
holati               | 246       
aslida               | 245       
salbiy               | 245       
bola                 | 245       
tanlash              | 245       
qiz                  | 244       
barpo                | 244       
dori                 | 244       
jarima               | 244       
gender               | 244       
qiladigan            | 243       
to'g'ridan           | 243       
xizmatlar            | 243       
iib                  | 243       
mahsulotlar          | 243       
rossiyaga            | 243       
eron                 | 242       
ta'minlaydi          | 242       
ekani                | 242       
darajasini           | 241       
ustida               | 241       
ma'naviy             | 241       
tumanidagi           | 241       
telefon              | 241       
hujum                | 241       
dunyoning            | 240       
soha                 | 240       
yo'nalishlari        | 240       
tonna                | 240       
super                | 239       
ketdi                | 239       
xuddi                | 239       
aytgan               | 239       
axborotni            | 239       
muassasalariga       | 238       
yaratilgan           | 238       
ro'yxatga            | 238       
qonuniy              | 238       
yetakchi             | 237       
rahbarlari           | 237       
turib                | 236       
berishi              | 236       
keyinchalik          | 236       
oyi                  | 236       
hayot                | 236       
hisobiga             | 235       
qilamiz              | 235       
kimyo                | 234       
kelmoqda             | 234       
putin                | 234       
huquqi               | 233       
guruhi               | 233       
kunlarda             | 232       
ishonchli            | 232       
takomillashtirish    | 232       
munosib              | 232       
miqdorda             | 232       
ijara                | 232       
ukrainaga            | 232       
filiali              | 231       
sharoitlar           | 231       
o'rniga              | 231       
mahsulot             | 231       
saudiya              | 231       
o'yinda              | 230       
qirg'iziston         | 230       
ustuvor              | 230       
amerika              | 229       
quyosh               | 229       
navbatida            | 229       
yo'nalishi           | 228       
kutilmoqda           | 228       
qoladi               | 228       
to'rt                | 228       
oshirilgan           | 228       
davlatlari           | 228       
korrupsiyaga         | 227       
fanlar               | 227       
muvaffaqiyatli       | 227       
olayotgan            | 227       
demokratik           | 227       
mamlakatlar          | 227       
kechasi              | 226       
hokimi               | 226       
o'zbekistonlik       | 226       
olinadi              | 226       
masala               | 226       
taraqqiyot           | 226       
yoshlarni            | 225       
qariyb               | 225       
yetarli              | 225       
masalasi             | 225       
bosib                | 225       
dars                 | 224       
haqiqiy              | 224       
komissiyasi          | 223       
inobatga             | 223       
sinovlari            | 223       
o'rni                | 223       
metr                 | 223       
universitetida       | 222       
bildirgan            | 222       
qon                  | 222       
rektori              | 221       
i                    | 221       
sun'iy               | 221       
muammolarni          | 221       
a'zosi               | 221       
ajratilgan           | 220       
darajadagi           | 220       
ta'limi              | 220       
o'rinni              | 220       
qo'llash             | 220       
chog'ida             | 220       
g'arb                | 220       
past                 | 219       
imkoniyatlar         | 219       
maktabgacha          | 219       
tilini               | 219       
qismini              | 219       
tartib               | 219       
o'ta                 | 219       
g'olib               | 219       
o'tkazib             | 219       
xabarda              | 219       
fuqarolarning        | 218       
ustidan              | 218       
energiyasi           | 218       
imkoniyat            | 217       
so'mdan              | 217       
nomzod               | 216       
jarayonlari          | 216       
veb                  | 216       
prezidentining       | 216       
topshirish           | 216       
qurish               | 216       
avtomobil            | 216       
qisqa                | 216       
qilayotgan           | 216       
borayotgan           | 215       
yuqoridagi           | 215       
bojxona              | 215       
yong'in              | 214       
chiqildi             | 214       
yevro                | 214       
o'tkazdi             | 214       
murakkab             | 214       
o'qishini            | 213       
tasdiqlangan         | 213       
his                  | 213       
to'plagan            | 212       
qilishda             | 212       
o'qitish             | 212       
mas'ul               | 212       
miqdorida            | 211       
tilida               | 211       
innovatsion          | 211       
britaniya            | 211       
imkoniyatini         | 211       
an'anaviy            | 211       
muzokaralar          | 211       
chiqilgan            | 211       
xabariga             | 211       
davlatning           | 211       
biriga               | 210       
chiqadi              | 210       
sababi               | 209       
chiqarilgan          | 209       
qiymati              | 209       
biroz                | 209       
nomli                | 208       
nomi                 | 208       
aniqlandi            | 208       
vositalar            | 208       
gektar               | 208       
foydalanuvchi        | 208       
hafta                | 207       
san'at               | 207       
boshida              | 207       
koronavirus          | 207       
vladimir             | 207       
nufuzli              | 206       
asos                 | 206       
tiklash              | 206       
prokuratura          | 206       
topgan               | 206       
mchj                 | 205       
kasbiy               | 205       
ilm                  | 205       
majbur               | 205       
erishish             | 205       
mulk                 | 205       
mavsumda             | 205       
tatbiq               | 204       
ta'kidlashicha       | 204       
o'zgarishi           | 204       
atrof                | 203       
fransiya             | 203       
dunyoda              | 203       
himoyachisi          | 203       
palatasi             | 202       
allaqachon           | 202       
odatda               | 202       
qolaversa            | 202       
qavatli              | 202       
tijorat              | 202       
endilikda            | 201       
xodimlar             | 201       
boradi               | 201       
ahamiyatga           | 201       
e'tirof              | 201       
tasdiqlandi          | 201       
banki                | 201       
mustahkamlash        | 201       
bo'lishini           | 201       
strategik            | 201       
shakllantirish       | 200       
shakli               | 200       
amalda               | 200       
sirtqi               | 199       
ro'yxati             | 199       
ko'pchilik           | 199       
tizimli              | 199       
fikricha             | 199       
gacha                | 198       
tajriba              | 198       
surxondaryo          | 198       
rioya                | 198       
temir                | 198       
siyosati             | 198       
qashqadaryo          | 197       
menga                | 197       
berishni             | 197       
dona                 | 197       
hozircha             | 196       
nazar                | 196       
barchasi             | 196       
oilaviy              | 196       
boshlagan            | 196       
klub                 | 196       
muddatga             | 195       
qizlarning           | 195       
tarmoqlari           | 195       
foydalanishga        | 195       
uzatish              | 195       
grant                | 194       
sayti                | 194       
turlari              | 194       
berilishi            | 194       
holatlar             | 194       
onasi                | 194       
keltirib             | 194       
turi                 | 194       
investitsiya         | 194       
birida               | 193       
qilinmoqda           | 193       
olmaydi              | 193       
tashabbusi           | 192       
topish               | 192       
professor            | 192       
universitetiga       | 192       
ilg'or               | 192       
chiqishi             | 192       
ko'rsatadi           | 192       
xabarlar             | 192       
ekanligi             | 192       
oson                 | 191       
ma                   | 191       
borgan               | 191       
byudjet              | 191       
arab                 | 191       
avvalo               | 191       
holatlari            | 191       
moskva               | 191       
ajoyib               | 190       
talabalarni          | 190       
bilish               | 190       
oshirilmoqda         | 190       
texnika              | 190       
demak                | 190       
oshiradi             | 190       
jizzax               | 190       
boshlangan           | 190       
dolzarb              | 190       
doim                 | 190       
bajarish             | 190       
neft                 | 190       
yurtimizda           | 189       
bayram               | 189       
o'qituvchi           | 189       
loyihalar            | 189       
tinchlik             | 189       
yaxshilash           | 189       
holatiga             | 188       
majlis               | 187       
oldindan             | 187       
sentabr              | 187       
savol                | 187       
doir                 | 187       
rahbariyati          | 187       
bag'ishlangan        | 187       
xavfsizligi          | 186       
yicha                | 186       
so'mga               | 186       
vazirligining        | 186       
munosabatlar         | 186       
sezilarli            | 186       
axborotlar           | 186       
km                   | 185       
darslar              | 185       
bo'sh                | 185       
yozilgan             | 185       
yaratadi             | 185       
tark                 | 185       
oldida               | 185       
beradigan            | 185       
atrofida             | 184       
noto'g'ri            | 184       
yaqinda              | 184       
qilishicha           | 184       
mahkamasining        | 183       
yozib                | 183       
o'qituvchilar        | 183       
ketma                | 183       
ishlarni             | 183       
hodisa               | 183       
jamiyati             | 183       
natija               | 182       
dollarlik            | 182       
muntazam             | 182       
matn                 | 182       
tovar                | 182       
talabalarning        | 181       
haqi                 | 181       
o'rganib             | 181       
to'lab               | 181       
a'zo                 | 181       
italiya              | 181       
ishlarini            | 181       
kunlik               | 181       
misol                | 181       
favqulodda           | 181       
harakatlar           | 181       
bazaviy              | 180       
tinch                | 180       
